15:41:31,SAFE,0.0,0,14.73,92.57,34.75,0.97,0.22,0.35,0
15:41:32,SAFE,0.0,0,14.6,90.23,34.81,0.97,0.22,0.34,0
15:41:33,SAFE,0.0,0,14.41,90.23,34.81,0.97,0.21,0.35,0
15:41:34,SAFE,0.0,0,14.41,92.57,34.88,0.97,0.21,0.36,0
15:41:35,SAFE,0.0,0,14.16,91.63,34.88,0.97,0.22,0.35,0
15:41:36,SAFE,0.0,0,14.22,88.39,34.94,0.97,0.22,0.35,0
15:41:37,SAFE,0.0,0,14.04,87.93,34.94,0.97,0.21,0.35,0
15:41:38,SAFE,0.0,0,13.97,86.58,35.0,0.97,0.22,0.35,0
15:41:39,SAFE,0.0,0,14.04,86.58,35.06,0.97,0.22,0.34,0
15:41:40,SAFE,0.0,0,13.91,84.36,35.13,0.97,0.22,0.35,0
15:41:41,SAFE,0.0,0,13.55,84.8,35.13,0.98,0.21,0.35,0
15:41:42,SAFE,0.0,0,13.43,84.36,35.13,0.97,0.22,0.35,0
15:41:43,SAFE,0.0,0,13.67,83.92,35.13,0.97,0.21,0.35,0
15:41:44,SAFE,0.0,0,13.37,82.62,35.19,0.97,0.22,0.34,0
15:41:45,SAFE,0.0,0,13.19,81.76,35.19,0.96,0.23,0.34,0
15:41:46,SAFE,0.0,0,13.31,80.06,35.25,0.97,0.21,0.35,0
15:41:47,SAFE,0.0,0,12.89,80.91,35.31,0.98,0.21,0.35,0
15:41:48,SAFE,0.0,0,12.89,80.48,35.38,0.97,0.22,0.35,0
15:41:49,SAFE,0.0,0,13.13,79.64,35.38,0.97,0.22,0.35,0
15:41:50,SAFE,0.0,0,12.83,78.39,35.38,0.97,0.21,0.35,0
15:41:51,SAFE,0.0,0,12.83,78.81,35.44,0.97,0.22,0.35,0
15:41:52,SAFE,0.0,0,12.78,77.57,35.5,0.97,0.21,0.34,0
15:41:53,SAFE,0.0,0,12.72,77.16,35.5,0.97,0.21,0.35,0
15:41:54,SAFE,0.0,0,12.49,76.35,35.56,0.97,0.21,0.35,0
15:41:55,SAFE,0.0,0,12.43,75.14,35.56,0.97,0.22,0.35,0
15:41:56,SAFE,0.0,0,12.26,75.54,35.63,0.97,0.22,0.35,0
15:41:57,SAFE,0.0,0,12.26,74.74,35.63,0.97,0.22,0.35,0
15:41:58,SAFE,0.0,0,12.26,74.74,35.69,0.97,0.21,0.36,0
15:41:59,SAFE,0.0,0,12.09,73.95,35.69,0.97,0.21,0.35,0
